[Thread-1] DEBUG com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - Writer thread is started
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 6 added to list
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 5
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - 5 removed from list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 4
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 7 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 5
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 8 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 6
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 9 added to list
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 7
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - 8 removed from list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 6
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 10 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 7
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 11 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 8
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 12 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 9
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 13 added to list
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 10
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - 12 removed from list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 9
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 14 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 10
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 15 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 11
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 16 added to list
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 12
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - 15 removed from list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 11
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 17 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 12
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 18 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 13
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 19 added to list
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 14
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - 18 removed from list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 13
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 20 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 14
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 21 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 15
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 22 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 16
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 23 added to list
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 17
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - 22 removed from list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 16
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 24 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 17
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 25 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - Writer thread is started
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - Remover thread is started
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 0
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 1 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 1
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 2 added to list
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 2
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - 1 removed from list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 1
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 3 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 2
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 4 added to list
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 3
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - 3 removed from list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 2
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 5 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 3
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 6 added to list
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 4
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - 5 removed from list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 3
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 7 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 4
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 8 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 5
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 9 added to list
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 6
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - 8 removed from list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 5
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 10 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 6
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 11 added to list
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 7
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - 10 removed from list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 6
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 12 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 7
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 13 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 8
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 14 added to list
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 9
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - 13 removed from list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 8
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 15 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 9
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 16 added to list
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 10
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - 15 removed from list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 9
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 17 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 10
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 18 added to list
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 11
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - 17 removed from list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 10
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 19 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 11
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 20 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 12
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 21 added to list
